Species,RA,tax_id
BACTEROIDES_UNIFORMIS,0.047,820
BLAUTIA_SP._NBRC-113351,0.045,2877527
ENTEROCLOSTER_CLOSTRIDIOFORMIS,0.053,1531
PARABACTEROIDES_DISTASONIS,0.048,823
BACILLUS_SUBTILIS,0.052,1423
STREPTOCOCCUS_MUTANS,0.069,1309
PSEUDOMONAS_PUTIDA,0.039,303
LACTOBACILLUS_DELBRUECKII,0.036,1584
ESCHERICHIA_COLI,0.056,562
FLAVONIFRACTOR_PLAUTII,0.037,292800
STAPHYLOCOCCUS_EPIDERMIDIS,0.048,1282
CUTIBACTERIUM_ACNES,0.05,1747
BIFIDOBACTERIUM_LONGUM,0.104,216816
ANAEROSTIPES_CACCAE,0.053,105841
RUMINOCOCCUS_GNAVUS,0.056,33038
MEGASPHAERA_MASSILIENSIS,0.048,1232428
MEGAMONAS_FUNIFORMIS,0.037,437897
COLLINSELLA_AEROFACIENS,0.062,74426
AKKERMANSIA_MUCINIPHILA,0.06,239935
