SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source
SRR11487937,17,0.5315,0.0291,9.9615,0.7525,0.0338,87.5,4.6137,biobakery3,0.01,mixed
SRR11487938,17,0.552,0.0288,9.3097,0.7556,0.0333,87.5,4.5333,biobakery3,0.01,mixed
SRR11487939,17,0.5207,0.029,11.3751,0.7533,0.0343,87.5,4.8612,biobakery3,0.01,mixed
SRR11487940,17,0.5497,0.0279,9.8744,0.7633,0.033,87.5,4.6898,biobakery3,0.01,mixed
SRR11487941,17,0.5396,0.029,11.408,0.7538,0.034,87.5,4.9541,biobakery3,0.01,mixed
SRR11487937,16,0.7057,0.0194,1.7957,0.8447,0.0281,100.0,0.0,biobakery4,0.01,mixed
SRR11487938,16,0.6971,0.0204,1.9222,0.8368,0.0296,100.0,0.0,biobakery4,0.01,mixed
SRR11487939,16,0.6971,0.0198,1.9306,0.8414,0.0294,100.0,0.0,biobakery4,0.01,mixed
SRR11487940,16,0.7089,0.0193,1.8183,0.8459,0.0282,100.0,0.0,biobakery4,0.01,mixed
SRR11487941,16,0.7041,0.0194,1.8753,0.8452,0.0288,100.0,0.0,biobakery4,0.01,mixed
SRR11487937,17,0.5762,0.0216,2.8573,0.816,0.0262,100.0,2.0036,jams,0.01,mixed
SRR11487938,17,0.5844,0.0215,2.7547,0.817,0.0264,100.0,1.6046,jams,0.01,mixed
SRR11487939,17,0.5669,0.0218,3.1795,0.8148,0.0268,100.0,2.9044,jams,0.01,mixed
SRR11487940,17,0.5918,0.0212,2.6976,0.8194,0.0261,100.0,1.5831,jams,0.01,mixed
SRR11487941,17,0.5835,0.0215,2.8662,0.8172,0.0263,100.0,1.9874,jams,0.01,mixed
SRR11487937,17,0.5826,0.0216,2.7279,0.8161,0.0262,100.0,1.5759,jams202212,0.01,mixed
SRR11487938,17,0.5893,0.0215,2.6397,0.8173,0.0264,100.0,1.2271,jams202212,0.01,mixed
SRR11487939,17,0.5812,0.0217,3.0175,0.8156,0.0266,100.0,2.1234,jams202212,0.01,mixed
SRR11487940,17,0.5976,0.0211,2.5725,0.8203,0.0261,100.0,1.1959,jams202212,0.01,mixed
SRR11487941,17,0.5885,0.0215,2.7595,0.8172,0.0263,100.0,1.5797,jams202212,0.01,mixed
SRR11487937,17,0.3462,0.0303,7.2287,0.7426,0.0387,100.0,9.2801,wgsa2,0.01,mixed
SRR11487938,17,0.3535,0.0303,7.2926,0.7426,0.0388,100.0,9.132,wgsa2,0.01,mixed
SRR11487939,17,0.3525,0.0305,7.0712,0.7411,0.0391,100.0,9.2484,wgsa2,0.01,mixed
SRR11487940,17,0.3551,0.0302,7.103,0.7432,0.0387,100.0,9.1336,wgsa2,0.01,mixed
SRR11487941,17,0.3549,0.0303,7.2388,0.7425,0.0389,100.0,9.1973,wgsa2,0.01,mixed
SRR11487937,18,0.0953,0.0345,5.7177,0.6896,0.0432,93.75,7.1205,woltka,0.01,mixed
SRR11487938,18,0.0947,0.0347,5.7186,0.6879,0.0436,93.75,7.0304,woltka,0.01,mixed
SRR11487939,18,0.0967,0.0343,5.7435,0.6917,0.0432,93.75,7.1268,woltka,0.01,mixed
SRR11487940,18,0.0959,0.0346,5.703,0.6888,0.0436,93.75,7.0165,woltka,0.01,mixed
SRR11487941,18,0.0958,0.0345,5.717,0.6895,0.0435,93.75,7.1312,woltka,0.01,mixed
SRR11487937,17,0.5315,0.0291,9.9615,0.7525,0.0338,87.5,4.6137,biobakery3,0.0001,mixed
SRR11487938,17,0.552,0.0288,9.3097,0.7556,0.0333,87.5,4.5333,biobakery3,0.0001,mixed
SRR11487939,17,0.5207,0.029,11.3751,0.7533,0.0343,87.5,4.8612,biobakery3,0.0001,mixed
SRR11487940,17,0.5497,0.0279,9.8744,0.7633,0.033,87.5,4.6898,biobakery3,0.0001,mixed
SRR11487941,17,0.5396,0.029,11.408,0.7538,0.034,87.5,4.9541,biobakery3,0.0001,mixed
SRR11487937,16,0.7057,0.0194,1.7957,0.8447,0.0281,100.0,0.0,biobakery4,0.0001,mixed
SRR11487938,16,0.6971,0.0204,1.9222,0.8368,0.0296,100.0,0.0,biobakery4,0.0001,mixed
SRR11487939,16,0.6971,0.0198,1.9306,0.8414,0.0294,100.0,0.0,biobakery4,0.0001,mixed
SRR11487940,16,0.7089,0.0193,1.8183,0.8459,0.0282,100.0,0.0,biobakery4,0.0001,mixed
SRR11487941,16,0.7041,0.0194,1.8753,0.8452,0.0288,100.0,0.0,biobakery4,0.0001,mixed
SRR11487937,25,0.7472,0.0148,7.2661,0.8154,0.0216,100.0,2.1794,jams,0.0001,mixed
SRR11487938,24,0.7391,0.0153,5.8057,0.8162,0.0222,100.0,1.8452,jams,0.0001,mixed
SRR11487939,27,0.7547,0.0138,7.9167,0.8143,0.0212,100.0,3.1123,jams,0.0001,mixed
SRR11487940,24,0.7446,0.0151,7.2145,0.8191,0.022,100.0,1.7115,jams,0.0001,mixed
SRR11487941,24,0.7397,0.0153,7.0752,0.8167,0.0221,100.0,2.1343,jams,0.0001,mixed
SRR11487937,23,0.7294,0.016,5.7676,0.8155,0.0225,100.0,1.7625,jams202212,0.0001,mixed
SRR11487938,26,0.7581,0.0141,7.4773,0.8167,0.0213,100.0,1.4122,jams202212,0.0001,mixed
SRR11487939,28,0.7667,0.0132,8.0871,0.815,0.0207,100.0,2.3439,jams202212,0.0001,mixed
SRR11487940,22,0.7243,0.0164,6.2325,0.82,0.0229,100.0,1.2851,jams202212,0.0001,mixed
SRR11487941,24,0.7417,0.0153,7.1979,0.8168,0.0221,100.0,1.697,jams202212,0.0001,mixed
SRR11487937,48,0.6661,0.0109,10.5522,0.7382,0.0227,100.0,10.6975,wgsa2,0.0001,mixed
SRR11487938,47,0.6653,0.0111,10.4484,0.7384,0.023,100.0,10.478,wgsa2,0.0001,mixed
SRR11487939,48,0.6646,0.011,10.4124,0.7368,0.0229,100.0,10.6586,wgsa2,0.0001,mixed
SRR11487940,47,0.6662,0.0111,10.5161,0.7385,0.0229,100.0,10.6376,wgsa2,0.0001,mixed
SRR11487941,48,0.6671,0.0109,10.4502,0.7383,0.0228,100.0,10.5573,wgsa2,0.0001,mixed
SRR11487937,78,0.5604,0.0083,13.8032,0.6782,0.0204,93.75,10.1548,woltka,0.0001,mixed
SRR11487938,78,0.5559,0.0083,13.8399,0.6753,0.0205,93.75,10.0943,woltka,0.0001,mixed
SRR11487939,77,0.5602,0.0083,13.757,0.68,0.0205,93.75,10.1534,woltka,0.0001,mixed
SRR11487940,79,0.558,0.0082,13.8342,0.6752,0.0204,93.75,10.1407,woltka,0.0001,mixed
SRR11487941,79,0.5591,0.0082,13.8913,0.6768,0.0203,93.75,10.2316,woltka,0.0001,mixed
SRR11487937,17,0.5315,0.0291,9.9615,0.7525,0.0338,87.5,4.6137,biobakery3,0.001,mixed
SRR11487938,17,0.552,0.0288,9.3097,0.7556,0.0333,87.5,4.5333,biobakery3,0.001,mixed
SRR11487939,17,0.5207,0.029,11.3751,0.7533,0.0343,87.5,4.8612,biobakery3,0.001,mixed
SRR11487940,17,0.5497,0.0279,9.8744,0.7633,0.033,87.5,4.6898,biobakery3,0.001,mixed
SRR11487941,17,0.5396,0.029,11.408,0.7538,0.034,87.5,4.9541,biobakery3,0.001,mixed
SRR11487937,16,0.7057,0.0194,1.7957,0.8447,0.0281,100.0,0.0,biobakery4,0.001,mixed
SRR11487938,16,0.6971,0.0204,1.9222,0.8368,0.0296,100.0,0.0,biobakery4,0.001,mixed
SRR11487939,16,0.6971,0.0198,1.9306,0.8414,0.0294,100.0,0.0,biobakery4,0.001,mixed
SRR11487940,16,0.7089,0.0193,1.8183,0.8459,0.0282,100.0,0.0,biobakery4,0.001,mixed
SRR11487941,16,0.7041,0.0194,1.8753,0.8452,0.0288,100.0,0.0,biobakery4,0.001,mixed
SRR11487937,17,0.5762,0.0216,2.8573,0.816,0.0262,100.0,2.0036,jams,0.001,mixed
SRR11487938,17,0.5844,0.0215,2.7547,0.817,0.0264,100.0,1.6046,jams,0.001,mixed
SRR11487939,17,0.5669,0.0218,3.1795,0.8148,0.0268,100.0,2.9044,jams,0.001,mixed
SRR11487940,17,0.5918,0.0212,2.6976,0.8194,0.0261,100.0,1.5831,jams,0.001,mixed
SRR11487941,17,0.5835,0.0215,2.8662,0.8172,0.0263,100.0,1.9874,jams,0.001,mixed
SRR11487937,17,0.5826,0.0216,2.7279,0.8161,0.0262,100.0,1.5759,jams202212,0.001,mixed
SRR11487938,17,0.5893,0.0215,2.6397,0.8173,0.0264,100.0,1.2271,jams202212,0.001,mixed
SRR11487939,17,0.5812,0.0217,3.0175,0.8156,0.0266,100.0,2.1234,jams202212,0.001,mixed
SRR11487940,17,0.5976,0.0211,2.5725,0.8203,0.0261,100.0,1.1959,jams202212,0.001,mixed
SRR11487941,17,0.5885,0.0215,2.7595,0.8172,0.0263,100.0,1.5797,jams202212,0.001,mixed
SRR11487937,22,0.5068,0.0236,7.2852,0.7404,0.0338,100.0,9.9794,wgsa2,0.001,mixed
SRR11487938,21,0.49,0.0247,7.3344,0.7408,0.0347,100.0,9.7167,wgsa2,0.001,mixed
SRR11487939,21,0.4878,0.0248,7.1104,0.7393,0.035,100.0,9.8384,wgsa2,0.001,mixed
SRR11487940,22,0.5106,0.0236,7.1542,0.7406,0.0337,100.0,9.9581,wgsa2,0.001,mixed
SRR11487941,21,0.4905,0.0247,7.2823,0.7407,0.0348,100.0,9.7829,wgsa2,0.001,mixed
